id,name,description,parent_id,created_at,created_by,last_modified_by,last_modified_on
73,"Pin Gắn Trong, Cáp và Bộ Sạc",N/A,3,2025-07-02 12:00:00,1,1,2025-07-02 12:00:00
74,"Ốp lưng, bao da, Miếng dán điện thoại",N/A,3,2025-07-03 12:00:00,1,1,2025-07-03 12:00:00
75,Bảo vệ màn hình,N/A,3,2025-07-04 12:00:00,1,1,2025-07-04 12:00:00
76,Đế giữ điện thoại,N/A,3,2025-07-05 12:00:00,1,1,2025-07-05 12:00:00
77,Thẻ nhớ,N/A,3,2025-07-06 12:00:00,1,1,2025-07-06 12:00:00
78,Sim,N/A,3,2025-07-07 12:00:00,1,1,2025-07-07 12:00:00
79,Phụ kiện khác,N/A,3,2025-07-08 12:00:00,1,1,2025-07-08 12:00:00
80,Thiết bị khác,N/A,3,2025-07-09 12:00:00,1,1,2025-07-09 12:00:00
81,Đồ dùng du lịch cho bé,N/A,4,2025-07-10 12:00:00,1,1,2025-07-10 12:00:00
82,Đồ dùng ăn dặm cho bé,N/A,4,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
83,Phụ kiện cho mẹ,N/A,4,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
84,Chăm sóc sức khỏe mẹ,N/A,4,2025-06-16 12:00:00,1,1,2025-06-16 12:00:00
85,Đồ dùng phòng tắm & Chăm sóc cơ thể bé,N/A,4,2025-06-17 12:00:00,1,1,2025-06-17 12:00:00
86,Đồ dùng phòng ngủ cho bé,N/A,4,2025-06-18 12:00:00,1,1,2025-06-18 12:00:00
87,An toàn cho bé,N/A,4,2025-06-19 12:00:00,1,1,2025-06-19 12:00:00
88,Thực phẩm cho bé,N/A,4,2025-06-20 12:00:00,1,1,2025-06-20 12:00:00
89,Chăm sóc sức khỏe bé,N/A,4,2025-06-21 12:00:00,1,1,2025-06-21 12:00:00
90,Tã & bô em bé,N/A,4,2025-06-22 12:00:00,1,1,2025-06-22 12:00:00
91,Đồ chơi,N/A,4,2025-06-23 12:00:00,1,1,2025-06-23 12:00:00
92,Bộ & Gói quà tặng,N/A,4,2025-06-24 12:00:00,1,1,2025-06-24 12:00:00
93,Khác,N/A,4,2025-06-25 12:00:00,1,1,2025-06-25 12:00:00
94,Sữa công thức trên 24 tháng,N/A,4,2025-06-26 12:00:00,1,1,2025-06-26 12:00:00
95,Sữa công thức trên 0-24 tháng tuổi,N/A,4,2025-06-27 12:00:00,1,1,2025-06-27 12:00:00
96,Thiết bị đeo thông minh,N/A,5,2025-06-28 12:00:00,1,1,2025-06-28 12:00:00
97,Phụ kiện tivi,N/A,5,2025-06-29 12:00:00,1,1,2025-06-29 12:00:00
98,Máy Game Console,N/A,5,2025-06-30 12:00:00,1,1,2025-06-30 12:00:00
99,Phụ kiện Console,N/A,5,2025-07-01 12:00:00,1,1,2025-07-01 12:00:00
100,Đĩa game,N/A,5,2025-07-02 12:00:00,1,1,2025-07-02 12:00:00
101,Linh phụ kiện,N/A,5,2025-07-03 12:00:00,1,1,2025-07-03 12:00:00
102,Tai nghe nhét tai,N/A,5,2025-07-04 12:00:00,1,1,2025-07-04 12:00:00
103,Loa,N/A,5,2025-07-05 12:00:00,1,1,2025-07-05 12:00:00
104,Tivi,N/A,5,2025-07-06 12:00:00,1,1,2025-07-06 12:00:00
105,Tivi Box,N/A,5,2025-07-07 12:00:00,1,1,2025-07-07 12:00:00
106,Headphones,N/A,5,2025-07-08 12:00:00,1,1,2025-07-08 12:00:00
107,"Chăn, Ga, Gối & Nệm",N/A,6,2025-07-09 12:00:00,1,1,2025-07-09 12:00:00
108,Trang trí nhà cửa,N/A,6,2025-07-10 12:00:00,1,1,2025-07-10 12:00:00
109,Dụng cụ & Thiết bị tiện ích,N/A,6,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
110,Đồ dùng nhà bếp và hộp đựng thực phẩm,N/A,6,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
111,Đèn,N/A,6,2025-06-16 12:00:00,1,1,2025-06-16 12:00:00
112,Ngoài trời & Sân vườn,N/A,6,2025-06-17 12:00:00,1,1,2025-06-17 12:00:00
113,Đồ dùng phòng tắm,N/A,6,2025-06-18 12:00:00,1,1,2025-06-18 12:00:00
114,Vật phẩm thờ cúng,N/A,6,2025-06-19 12:00:00,1,1,2025-06-19 12:00:00
115,Đồ trang trí tiệc,N/A,6,2025-06-20 12:00:00,1,1,2025-06-20 12:00:00
116,Chăm sóc nhà cửa và giặt ủi,N/A,6,2025-06-21 12:00:00,1,1,2025-06-21 12:00:00
117,Sắp xếp nhà cửa,N/A,6,2025-06-22 12:00:00,1,1,2025-06-22 12:00:00
118,Dụng cụ pha chế,N/A,6,2025-06-23 12:00:00,1,1,2025-06-23 12:00:00
119,Tinh dầu thơm phòng,N/A,6,2025-06-24 12:00:00,1,1,2025-06-24 12:00:00
120,Đồ dùng phòng ăn,N/A,6,2025-06-25 12:00:00,1,1,2025-06-25 12:00:00
121,Đồng Hồ Nam,N/A,7,2025-06-26 12:00:00,1,1,2025-06-26 12:00:00
122,Đồng Hồ Nữ,N/A,7,2025-06-27 12:00:00,1,1,2025-06-27 12:00:00
123,Bộ Đồng Hồ & Đồng Hồ Cặp,N/A,7,2025-06-28 12:00:00,1,1,2025-06-28 12:00:00
124,Đồng Hồ Trẻ Em,N/A,7,2025-06-29 12:00:00,1,1,2025-06-29 12:00:00
125,Phụ Kiện Đồng Hồ,N/A,7,2025-06-30 12:00:00,1,1,2025-06-30 12:00:00
126,Khác,N/A,7,2025-07-01 12:00:00,1,1,2025-07-01 12:00:00
127,Nhẫn,N/A,8,2025-07-02 12:00:00,1,1,2025-07-02 12:00:00
128,Bông tai,N/A,8,2025-07-03 12:00:00,1,1,2025-07-03 12:00:00
129,Khăn choàng,N/A,8,2025-07-04 12:00:00,1,1,2025-07-04 12:00:00
130,Găng tay,N/A,8,2025-07-05 12:00:00,1,1,2025-07-05 12:00:00
131,Phụ kiện tóc,N/A,8,2025-07-06 12:00:00,1,1,2025-07-06 12:00:00
132,Vòng tay & Lắc tay,N/A,8,2025-07-07 12:00:00,1,1,2025-07-07 12:00:00
133,Lắc chân,N/A,8,2025-07-08 12:00:00,1,1,2025-07-08 12:00:00
134,Mũ,N/A,8,2025-07-09 12:00:00,1,1,2025-07-09 12:00:00
135,Dây chuyền,N/A,8,2025-07-10 12:00:00,1,1,2025-07-10 12:00:00
136,Kính mắt,N/A,8,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
137,Kim loại quý,N/A,8,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
138,Thắt lưng,N/A,8,2025-06-16 12:00:00,1,1,2025-06-16 12:00:00
139,Cà vạt & Nơ cổ,N/A,8,2025-06-17 12:00:00,1,1,2025-06-17 12:00:00
140,Phụ kiện thêm,N/A,8,2025-06-18 12:00:00,1,1,2025-06-18 12:00:00
141,Bộ phụ kiện,N/A,8,2025-06-19 12:00:00,1,1,2025-06-19 12:00:00
142,Khác,N/A,8,2025-06-20 12:00:00,1,1,2025-06-20 12:00:00
143,Vớ/Tất,N/A,8,2025-06-21 12:00:00,1,1,2025-06-21 12:00:00
144,Ô/Dù,N/A,8,2025-06-22 12:00:00,1,1,2025-06-22 12:00:00
145,Ba Lô Nam,N/A,9,2025-06-23 12:00:00,1,1,2025-06-23 12:00:00
146,Ba Lô Laptop Nam,N/A,9,2025-06-24 12:00:00,1,1,2025-06-24 12:00:00
147,Túi & Cặp Đựng Laptop,N/A,9,2025-06-25 12:00:00,1,1,2025-06-25 12:00:00
148,Túi Chống Sốc Laptop Nam,N/A,9,2025-06-26 12:00:00,1,1,2025-06-26 12:00:00
149,Túi Tote Nam,N/A,9,2025-06-27 12:00:00,1,1,2025-06-27 12:00:00
150,Cặp Xách Công Sở Nam,N/A,9,2025-06-28 12:00:00,1,1,2025-06-28 12:00:00
151,Ví Cầm Tay Nam,N/A,9,2025-06-29 12:00:00,1,1,2025-06-29 12:00:00
152,Túi Đeo Hông & Túi Đeo Ngực Nam,N/A,9,2025-06-30 12:00:00,1,1,2025-06-30 12:00:00
153,Túi Đeo Chéo Nam,N/A,9,2025-07-01 12:00:00,1,1,2025-07-01 12:00:00
154,Bóp/Ví Nam,N/A,9,2025-07-02 12:00:00,1,1,2025-07-02 12:00:00
155,Khác,N/A,9,2025-07-03 12:00:00,1,1,2025-07-03 12:00:00
156,Máy Tính Bàn,N/A,10,2025-07-04 12:00:00,1,1,2025-07-04 12:00:00
157,Màn Hình,N/A,10,2025-07-05 12:00:00,1,1,2025-07-05 12:00:00
158,Linh Kiện Máy Tính,N/A,10,2025-07-06 12:00:00,1,1,2025-07-06 12:00:00
159,Thiết Bị Lưu Trữ,N/A,10,2025-07-07 12:00:00,1,1,2025-07-07 12:00:00
160,Thiết Bị Mạng,N/A,10,2025-07-08 12:00:00,1,1,2025-07-08 12:00:00
161,"Máy In, Máy Scan & Máy Chiếu",N/A,10,2025-07-09 12:00:00,1,1,2025-07-09 12:00:00
162,Phụ Kiện Máy Tính,N/A,10,2025-07-10 12:00:00,1,1,2025-07-10 12:00:00
163,Laptop,N/A,10,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
164,Khác,N/A,10,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
165,Gaming,N/A,10,2025-06-16 12:00:00,1,1,2025-06-16 12:00:00
166,Bốt,N/A,11,2025-06-17 12:00:00,1,1,2025-06-17 12:00:00
167,Giày Thể Thao/Sneaker,N/A,11,2025-06-18 12:00:00,1,1,2025-06-18 12:00:00
168,Giày Đế Bằng,N/A,11,2025-06-19 12:00:00,1,1,2025-06-19 12:00:00
169,Giày Cao Gót,N/A,11,2025-06-20 12:00:00,1,1,2025-06-20 12:00:00
170,Giày Đế Xuồng,N/A,11,2025-06-21 12:00:00,1,1,2025-06-21 12:00:00
171,Xăng-đan Và Dép,N/A,11,2025-06-22 12:00:00,1,1,2025-06-22 12:00:00
172,Phụ Kiện Giày,N/A,11,2025-06-23 12:00:00,1,1,2025-06-23 12:00:00
173,Giày Khác,N/A,11,2025-06-24 12:00:00,1,1,2025-06-24 12:00:00
174,Vali,N/A,12,2025-06-25 12:00:00,1,1,2025-06-25 12:00:00
175,Túi du lịch,N/A,12,2025-06-26 12:00:00,1,1,2025-06-26 12:00:00
176,Phụ kiện du lịch,N/A,12,2025-06-27 12:00:00,1,1,2025-06-27 12:00:00
177,Dụng Cụ Thể Thao & Dã Ngoại,N/A,12,2025-06-28 12:00:00,1,1,2025-06-28 12:00:00
178,Giày Thể Thao,N/A,12,2025-06-29 12:00:00,1,1,2025-06-29 12:00:00
179,Thời Trang Thể Thao & Dã Ngoại,N/A,12,2025-06-30 12:00:00,1,1,2025-06-30 12:00:00
180,Phụ Kiện Thể Thao & Dã Ngoại,N/A,12,2025-07-01 12:00:00,1,1,2025-07-01 12:00:00
181,Khác,N/A,12,2025-07-02 12:00:00,1,1,2025-07-02 12:00:00
182,Trang phục bé trai,N/A,13,2025-07-03 12:00:00,1,1,2025-07-03 12:00:00
183,Trang phục bé gái,N/A,13,2025-07-04 12:00:00,1,1,2025-07-04 12:00:00
184,Giày dép bé trai,N/A,13,2025-07-05 12:00:00,1,1,2025-07-05 12:00:00
185,Giày dép bé gái,N/A,13,2025-07-06 12:00:00,1,1,2025-07-06 12:00:00
186,Khác,N/A,13,2025-07-07 12:00:00,1,1,2025-07-07 12:00:00
187,Quần Áo em bé,N/A,13,2025-07-08 12:00:00,1,1,2025-07-08 12:00:00
188,Giày tập đi & Tất sơ sinh,N/A,13,2025-07-09 12:00:00,1,1,2025-07-09 12:00:00
189,Phụ kiện trẻ em,N/A,13,2025-07-10 12:00:00,1,1,2025-07-10 12:00:00
190,Dụng cụ cầm tay,N/A,14,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
191,Dụng cụ điện và thiết bị lớn,N/A,14,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
192,Thiết bị mạch điện,N/A,14,2025-06-16 12:00:00,1,1,2025-06-16 12:00:00
193,Vật liệu xây dựng,N/A,14,2025-06-17 12:00:00,1,1,2025-06-17 12:00:00
194,Thiết bị và phụ kiện xây dựng,N/A,14,2025-06-18 12:00:00,1,1,2025-06-18 12:00:00
195,Chăm sóc da mặt,N/A,15,2025-06-19 12:00:00,1,1,2025-06-19 12:00:00
196,Tắm & chăm sóc cở thể,N/A,15,2025-06-20 12:00:00,1,1,2025-06-20 12:00:00
197,Trang điểm,N/A,15,2025-06-21 12:00:00,1,1,2025-06-21 12:00:00
198,Chăm sóc tóc,N/A,15,2025-06-22 12:00:00,1,1,2025-06-22 12:00:00
199,Dụng cụ & Phụ kiện Làm đẹp,N/A,15,2025-06-23 12:00:00,1,1,2025-06-23 12:00:00
200,Vệ sinh răng miệng,N/A,15,2025-06-24 12:00:00,1,1,2025-06-24 12:00:00
201,Nước hoa,N/A,15,2025-06-25 12:00:00,1,1,2025-06-25 12:00:00
202,Chăm sóc nam giới,N/A,15,2025-06-26 12:00:00,1,1,2025-06-26 12:00:00
203,Khác,N/A,15,2025-06-27 12:00:00,1,1,2025-06-27 12:00:00
204,Chăm sóc phụ nữ,N/A,15,2025-06-28 12:00:00,1,1,2025-06-28 12:00:00
205,Bộ sản phẩm làm đẹp,N/A,15,2025-06-29 12:00:00,1,1,2025-06-29 12:00:00
206,Bốt,N/A,16,2025-06-30 12:00:00,1,1,2025-06-30 12:00:00
207,Giày Thể Thao/Sneaker,N/A,16,2025-07-01 12:00:00,1,1,2025-07-01 12:00:00
208,Giày Sục,N/A,16,2025-07-02 12:00:00,1,1,2025-07-02 12:00:00
209,Giày Tây Lười,N/A,16,2025-07-03 12:00:00,1,1,2025-07-03 12:00:00
210,Giày Oxfords & Giày Buộc Dây,N/A,16,2025-07-04 12:00:00,1,1,2025-07-04 12:00:00
211,Xăng-đan và Dép,N/A,16,2025-07-05 12:00:00,1,1,2025-07-05 12:00:00
212,Phụ kiện giày dép,N/A,16,2025-07-06 12:00:00,1,1,2025-07-06 12:00:00
213,Khác,N/A,16,2025-07-07 12:00:00,1,1,2025-07-07 12:00:00
214,Đồ ăn vặt,N/A,17,2025-07-08 12:00:00,1,1,2025-07-08 12:00:00
215,Đồ chế biến sẵn,N/A,17,2025-07-09 12:00:00,1,1,2025-07-09 12:00:00
216,Nhu yếu phẩm,N/A,17,2025-07-10 12:00:00,1,1,2025-07-10 12:00:00
217,Nguyên liệu nấu ăn,N/A,17,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
218,Đồ làm bánh,N/A,17,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
219,Sữa - trứng,N/A,17,2025-06-16 12:00:00,1,1,2025-06-16 12:00:00
220,Đồ uống,N/A,17,2025-06-17 12:00:00,1,1,2025-06-17 12:00:00
221,Ngũ cốc & mứt,N/A,17,2025-06-18 12:00:00,1,1,2025-06-18 12:00:00
222,Các loại bánh,N/A,17,2025-06-19 12:00:00,1,1,2025-06-19 12:00:00
223,Đồ uống có cồn,N/A,17,2025-06-20 12:00:00,1,1,2025-06-20 12:00:00
224,Bộ quà tặng,N/A,17,2025-06-21 12:00:00,1,1,2025-06-21 12:00:00
225,Thực phẩm tươi sống và thực phẩm đông lạnh,N/A,17,2025-06-22 12:00:00,1,1,2025-06-22 12:00:00
226,Khác,N/A,17,2025-06-23 12:00:00,1,1,2025-06-23 12:00:00
227,Sở thích & Sưu tầm,N/A,18,2025-06-24 12:00:00,1,1,2025-06-24 12:00:00
228,Đồ chơi giải trí,N/A,18,2025-06-25 12:00:00,1,1,2025-06-25 12:00:00
229,Đồ chơi giáo dục,N/A,18,2025-06-26 12:00:00,1,1,2025-06-26 12:00:00
230,Đồ chiow cho trẻ sơ sinh & trẻ nhỏ,N/A,18,2025-06-27 12:00:00,1,1,2025-06-27 12:00:00
231,Đồ chơi vận động & ngoài trời,N/A,18,2025-06-28 12:00:00,1,1,2025-06-28 12:00:00
232,Búp bê & Đồ chơi nhồi bông,N/A,18,2025-06-29 12:00:00,1,1,2025-06-29 12:00:00
233," Máy ảnh - Máy quay phim",N/A,19,2025-06-30 12:00:00,1,1,2025-06-30 12:00:00
234,Camera giám sát & Camera hệ thống,N/A,19,2025-07-01 12:00:00,1,1,2025-07-01 12:00:00
235,Thẻ nhớ,N/A,19,2025-07-02 12:00:00,1,1,2025-07-02 12:00:00
236,Ống kính,N/A,19,2025-07-03 12:00:00,1,1,2025-07-03 12:00:00
237,Phụ kiện máy ảnh,N/A,19,2025-07-04 12:00:00,1,1,2025-07-04 12:00:00
238,Máy bay camera & Phụ kiện,N/A,19,2025-07-05 12:00:00,1,1,2025-07-05 12:00:00
239,Ba Lô Nữ,N/A,20,2025-07-06 12:00:00,1,1,2025-07-06 12:00:00
240,Cặp Laptop,N/A,20,2025-07-07 12:00:00,1,1,2025-07-07 12:00:00
241,Ví Dự Tiệc & Ví Cầm Tay,N/A,20,2025-07-08 12:00:00,1,1,2025-07-08 12:00:00
242,Túi Đeo Hông & Túi Đeo Ngực,N/A,20,2025-07-09 12:00:00,1,1,2025-07-09 12:00:00
243,Túi Tote,N/A,20,2025-07-10 12:00:00,1,1,2025-07-10 12:00:00
244,Túi Quai Xách,N/A,20,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
245,Túi Đeo Chéo & Túi Đeo Vai,N/A,20,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
246,Ví/Bóp Nữ,N/A,20,2025-06-16 12:00:00,1,1,2025-06-16 12:00:00
247,Phụ Kiện Túi,N/A,20,2025-06-17 12:00:00,1,1,2025-06-17 12:00:00
248,Khác,N/A,20,2025-06-18 12:00:00,1,1,2025-06-18 12:00:00
249,"Xe đạp, xe điện",N/A,21,2025-06-19 12:00:00,1,1,2025-06-19 12:00:00
250,"Mô tô, xe máy",N/A,21,2025-06-20 12:00:00,1,1,2025-06-20 12:00:00
251,Xe Ô tô,N/A,21,2025-06-21 12:00:00,1,1,2025-06-21 12:00:00
252,Mũ bảo hiểm,N/A,21,2025-06-22 12:00:00,1,1,2025-06-22 12:00:00
253,Phụ kiện xe máy,N/A,21,2025-06-23 12:00:00,1,1,2025-06-23 12:00:00
254,Phụ kiện xe đạp,N/A,21,2025-06-24 12:00:00,1,1,2025-06-24 12:00:00
255,Phụ kiện bên trong ô tô,N/A,21,2025-06-25 12:00:00,1,1,2025-06-25 12:00:00
256,Dầu nhớt & dầu nhờn,N/A,21,2025-06-26 12:00:00,1,1,2025-06-26 12:00:00
257,Phụ tùng ô tô,N/A,21,2025-06-27 12:00:00,1,1,2025-06-27 12:00:00
258,Phụ tùng xe máy,N/A,21,2025-06-28 12:00:00,1,1,2025-06-28 12:00:00
259,Phụ kiện bên ngoài ô tô,N/A,21,2025-06-29 12:00:00,1,1,2025-06-29 12:00:00
260,Chăm sóc ô tô,N/A,21,2025-06-30 12:00:00,1,1,2025-06-30 12:00:00
261,Dịch vụ cho xe,N/A,21,2025-07-01 12:00:00,1,1,2025-07-01 12:00:00
262,Giặt giũ & Chăm sóc nhà cửa,N/A,22,2025-07-02 12:00:00,1,1,2025-07-02 12:00:00
263,"Giấy vệ sinh, khăn giấy",N/A,22,2025-07-03 12:00:00,1,1,2025-07-03 12:00:00
264,Vệ sinh nhà cửa,N/A,22,2025-07-04 12:00:00,1,1,2025-07-04 12:00:00
265,Vệ sinh bát đĩa,N/A,22,2025-07-05 12:00:00,1,1,2025-07-05 12:00:00
266,Dụng cụ vệ sinh,N/A,22,2025-07-06 12:00:00,1,1,2025-07-06 12:00:00
267,"Chát khử mùi, làm thơm",N/A,22,2025-07-07 12:00:00,1,1,2025-07-07 12:00:00
268,Thuốc diệt côn trùng,N/A,22,2025-07-08 12:00:00,1,1,2025-07-08 12:00:00
269,"Túi, màng bọc thực phẩm",N/A,22,2025-07-09 12:00:00,1,1,2025-07-09 12:00:00
270,"Bao bì, túi đựng rác",N/A,22,2025-07-10 12:00:00,1,1,2025-07-10 12:00:00
271,Vật tư y tế,N/A,23,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
272,Chống muỗi & xua đuổi con trùng,N/A,23,2025-06-15 12:00:00,1,1,2025-06-15 12:00:00
273,Thực phẩm chức năng,N/A,23,2025-06-16 12:00:00,1,1,2025-06-16 12:00:00
274,Tã người lớn,N/A,23,2025-06-17 12:00:00,1,1,2025-06-17 12:00:00
275,Hỗ trợ làm đẹp,N/A,23,2025-06-18 12:00:00,1,1,2025-06-18 12:00:00
276,Hỗ trợ tình dục,N/A,23,2025-06-19 12:00:00,1,1,2025-06-19 12:00:00
277,Dụng cụ massage và trị liệu,N/A,23,2025-06-20 12:00:00,1,1,2025-06-20 12:00:00
